Datetime,Temperature,PID_Output,Route,Concentration,mlOfFood
00:00:16,16.48,0.00,mussel,18000.00,1052.63
00:00:26,16.60,0.00,mussel,18000.00,1052.63
00:00:36,16.70,0.00,mussel,-103638.30,-139.68
00:00:46,16.85,0.00,mussel,-103638.30,-139.68
00:00:57,16.63,0.00,mussel,-103638.30,-139.68
00:01:07,16.85,0.00,mussel,-27092.58,-486.34
00:01:17,16.71,0.00,mussel,-27092.58,-486.34
00:01:27,16.77,0.00,mussel,-360.36,-3649.31
00:01:37,16.83,0.00,mussel,-360.36,-3649.31
00:01:47,16.77,0.00,mussel,-360.36,-3649.31
00:01:57,16.80,0.00,mussel,13745.16,1500.73
00:02:08,16.81,0.00,mussel,13745.16,1500.73
00:02:18,16.97,0.00,mussel,13745.16,1500.73
00:02:28,16.77,0.00,mussel,22354.13,806.27
00:02:38,16.71,0.00,mussel,22354.13,806.27
00:02:48,16.68,0.00,mussel,28182.15,613.95
00:02:58,16.78,0.00,mussel,28182.15,613.95
00:03:08,16.72,0.00,mussel,28182.15,613.95
00:03:18,16.69,0.00,mussel,32313.05,525.15
00:03:28,16.69,0.00,mussel,32313.05,525.15
00:03:38,16.80,0.00,mussel,35473.62,472.83
00:03:49,16.68,0.00,mussel,35473.62,472.83
00:03:59,16.73,0.00,mussel,35473.62,472.83
00:04:09,16.67,0.00,mussel,37660.79,442.34
00:04:19,16.77,0.00,mussel,37660.79,442.34
00:04:29,16.68,0.00,mussel,37660.79,442.34
00:04:39,16.88,0.00,mussel,39102.97,424.29
00:04:50,16.64,0.00,mussel,39102.97,424.29
00:05:00,16.72,0.00,mussel,40158.49,411.99
00:05:10,16.75,0.00,mussel,40158.49,411.99
00:05:20,16.81,0.00,mussel,40158.49,411.99
00:05:30,16.83,0.00,mussel,40983.23,402.87
00:05:40,16.76,0.00,mussel,40983.23,402.87
00:05:50,16.84,0.00,mussel,41588.82,396.42
00:06:00,16.76,0.00,mussel,41588.82,396.42
00:06:11,16.87,0.00,mussel,41588.82,396.42
00:06:21,16.67,0.00,mussel,42035.11,391.80
00:06:31,16.78,0.00,mussel,42035.11,391.80
00:06:41,16.81,0.00,mussel,42035.11,391.80
00:06:51,16.72,0.00,mussel,42312.29,388.98
00:07:01,16.83,0.00,mussel,42312.29,388.98
00:07:11,16.79,0.00,mussel,42464.23,387.45
00:07:21,16.83,0.00,mussel,42464.23,387.45
00:07:32,16.90,0.00,mussel,42464.23,387.45
00:07:42,16.59,0.00,mussel,42625.71,385.85
00:07:52,16.87,0.00,mussel,42625.71,385.85
00:08:02,16.88,0.00,mussel,42793.01,384.19
00:08:12,16.83,0.00,mussel,42793.01,384.19
00:08:22,16.73,0.00,mussel,42793.01,384.19
00:08:32,16.75,0.00,mussel,43018.73,381.98
00:08:43,17.00,0.00,mussel,43018.73,381.98
00:08:53,16.78,0.00,mussel,43018.73,381.98
00:09:03,17.03,0.00,mussel,42984.84,382.31
00:09:13,16.90,0.00,mussel,42984.84,382.31
00:09:23,16.63,0.00,mussel,43008.61,382.08
00:09:33,16.77,0.00,mussel,43008.61,382.08
00:09:43,16.91,0.00,mussel,43008.61,382.08
00:09:54,17.06,0.00,mussel,43076.03,381.43
00:10:04,16.91,0.00,mussel,43076.03,381.43
00:10:14,16.51,0.00,mussel,43176.61,380.45
00:10:24,16.92,0.00,mussel,43176.61,380.45
00:10:34,16.84,0.00,mussel,43176.61,380.45
00:10:44,16.87,0.00,mussel,43201.13,380.22
00:10:54,16.85,0.00,mussel,43201.13,380.22
00:11:05,16.61,0.00,mussel,43201.13,380.22
00:11:15,16.87,0.00,mussel,43317.94,379.09
00:11:25,16.81,0.00,mussel,43317.94,379.09
00:11:35,16.67,0.00,mussel,43355.43,378.74
00:11:45,16.81,0.00,mussel,43355.43,378.74
00:11:55,16.77,0.00,mussel,43355.43,378.74
00:12:06,16.80,0.00,mussel,43381.86,378.48
00:12:16,16.79,0.00,mussel,43381.86,378.48
00:12:26,16.84,0.00,mussel,43381.86,378.48
00:12:36,16.76,0.00,mussel,43450.70,377.83
00:12:46,16.93,0.00,mussel,43450.70,377.83
00:12:56,16.68,0.00,mussel,43403.17,378.28
00:13:06,16.67,0.00,mussel,43403.17,378.28
00:13:17,16.84,0.00,mussel,43403.17,378.28
00:13:27,16.70,0.00,mussel,43416.34,378.15
00:13:37,16.79,0.00,mussel,43416.34,378.15
00:13:47,16.75,0.00,mussel,43427.13,378.05
00:13:57,16.69,0.00,mussel,43427.13,378.05
00:14:08,17.01,0.00,mussel,43427.13,378.05
00:14:18,16.73,0.00,mussel,43485.66,377.49
00:14:28,16.74,0.00,mussel,43485.66,377.49
00:14:38,16.65,0.00,mussel,43485.66,377.49
00:14:48,16.83,0.00,mussel,43476.38,377.58
00:14:58,16.66,0.00,mussel,43476.38,377.58
00:15:08,16.89,0.00,mussel,43471.81,377.63
00:15:19,16.77,0.00,mussel,43471.81,377.63
00:15:29,16.88,0.00,mussel,43471.81,377.63
00:15:39,16.93,0.00,mussel,43467.36,377.67
00:15:49,16.69,0.00,mussel,43467.36,377.67
00:15:59,16.88,0.00,mussel,43467.36,377.67
00:16:09,16.91,0.00,mussel,43414.72,378.17
00:16:20,16.87,0.00,mussel,43414.72,378.17
00:16:30,16.84,0.00,mussel,43474.16,377.60
00:16:40,16.81,0.00,mussel,43474.16,377.60
00:16:50,16.80,0.00,mussel,43474.16,377.60
00:17:00,16.87,0.00,mussel,43469.57,377.65
00:17:10,16.74,0.00,mussel,43469.57,377.65
00:17:20,16.94,0.00,mussel,43415.10,378.17
00:17:30,16.69,0.00,mussel,43415.10,378.17
00:17:41,16.79,0.00,mussel,43415.10,378.17
00:17:51,16.75,0.00,mussel,43325.23,379.02
00:18:01,16.86,0.00,mussel,43325.23,379.02
00:18:11,16.94,0.00,mussel,43325.23,379.02
00:18:21,16.84,0.00,mussel,43460.23,377.74
00:18:31,16.94,0.00,mussel,43460.23,377.74
00:18:41,16.68,0.00,mussel,43308.48,379.19
00:18:51,16.79,0.00,mussel,43308.48,379.19
00:19:02,16.90,0.00,mussel,43308.48,379.19
00:19:12,16.77,0.00,mussel,43347.91,378.81
00:19:22,16.87,0.00,mussel,43347.91,378.81
00:19:32,16.93,0.00,mussel,43326.31,379.01
00:19:42,16.84,0.00,mussel,43326.31,379.01
00:19:52,16.77,0.00,mussel,43326.31,379.01
00:20:02,16.72,0.00,mussel,43459.28,377.75
00:20:12,16.82,0.00,mussel,43459.28,377.75
00:20:23,16.83,0.00,mussel,43459.28,377.75
00:20:33,16.78,0.00,mussel,43507.51,377.29
00:20:43,16.85,0.00,mussel,43507.51,377.29
00:20:53,16.81,0.00,mussel,43594.66,376.46
00:21:03,16.73,0.00,mussel,43594.66,376.46
00:21:13,16.74,0.00,mussel,43594.66,376.46
00:21:23,16.84,0.00,mussel,43457.68,377.76
00:21:34,16.86,0.00,mussel,43457.68,377.76
00:21:44,16.85,0.00,mussel,43506.86,377.29
00:21:54,16.87,0.00,mussel,43506.86,377.29
00:22:04,16.82,0.00,mussel,43506.86,377.29
00:22:14,16.82,0.00,mussel,43642.57,376.01
00:22:24,16.82,0.00,mussel,43642.57,376.01
00:22:34,16.89,0.00,mussel,43642.57,376.01
00:22:44,16.81,0.00,mussel,43541.09,376.97
00:22:55,16.90,0.00,mussel,43541.09,376.97
00:23:05,16.79,0.00,mussel,43418.32,378.14
00:23:15,16.94,0.00,mussel,43418.32,378.14
00:23:25,16.92,0.00,mussel,43418.32,378.14
00:23:35,16.88,0.00,mussel,43428.01,378.04
00:23:45,16.78,0.00,mussel,43428.01,378.04
